model_family,family,modality,gold,pred,runs,count_mean,count_std,rate_within_gold_mean,rate_within_gold_std
m3hg,m3hg_tv,tv,emo_cause,emo_context,3,233.0,39.1279950930277,0.1298773690078038,0.021810476640483665
m3hg,m3hg_tv,tv,emo_cause,non_pair,3,407.3333333333333,16.165807537309522,0.22705314009661837,0.009011040990696504
m3hg,m3hg_tv,tv,emo_context,emo_cause,3,147.66666666666666,26.159765544311238,0.14811099966566366,0.02623848098727305
m3hg,m3hg_tv,tv,emo_context,emo_context,3,327.0,38.62641583165593,0.3279839518555667,0.03874264376294475
m3hg,m3hg_tv,tv,emo_context,non_pair,3,522.3333333333334,35.921210076128204,0.5239050484787696,0.03602929797003833
m3hg,m3hg_tv,tv,non_pair,emo_cause,3,1058.3333333333333,116.79183761433562,0.06839871604299963,0.007548105578383998
m3hg,m3hg_tv,tv,non_pair,emo_context,3,964.6666666666666,79.21068951431576,0.062345160386910535,0.005119284528812494
m3hg,m3hg_tv,tv,non_pair,non_pair,3,13450.0,54.286278192559855,0.8692561235700899,0.0035084520256292023
mecpe,mecpe_t,t,emo_cause,emo_cause,3,1053.3333333333333,55.868894148115466,0.587142326272761,0.031142081464947294
mecpe,mecpe_t,t,emo_cause,emo_context,3,236.33333333333334,19.502136635080095,0.13173541434410999,0.010870756206845095
mecpe,mecpe_t,t,emo_cause,non_pair,3,504.3333333333333,52.2525916422653,0.28112225938312896,0.029126305263247106
mecpe,mecpe_t,t,emo_context,emo_cause,3,88.33333333333333,7.505553499465134,0.08859913072550986,0.007528137913204742
mecpe,mecpe_t,t,emo_context,emo_context,3,306.3333333333333,35.00476158086688,0.307255098629221,0.03511009185643617
mecpe,mecpe_t,t,emo_context,non_pair,3,602.3333333333334,35.9212100761282,0.6041457706452692,0.03602929797003833
mecpe,mecpe_t,t,non_pair,emo_cause,3,1045.0,121.87288459702593,0.0675369999353713,0.007876487080529045
mecpe,mecpe_t,t,non_pair,emo_context,3,946.3333333333334,135.51506681300543,0.061160300738921564,0.00875816369243233
mecpe,mecpe_t,t,non_pair,non_pair,3,13481.666666666666,103.27310072489024,0.8713026993257071,0.006674407078452131
mecpe,mecpe_ta,ta,emo_cause,emo_cause,3,1120.6666666666667,15.885003409925156,0.6246748420661464,0.008854516950905883
mecpe,mecpe_ta,ta,emo_cause,emo_context,3,274.3333333333333,41.18656738954259,0.15291713117800074,0.022957952836980263
mecpe,mecpe_ta,ta,emo_cause,non_pair,3,399.0,31.240998703626616,0.22240802675585283,0.017414157582846507
mecpe,mecpe_ta,ta,emo_context,emo_cause,3,97.0,6.082762530298219,0.09729187562688064,0.006101065727480657
mecpe,mecpe_ta,ta,emo_context,emo_context,3,353.6666666666667,64.37649674635405,0.35473085924439984,0.06457020736845945
mecpe,mecpe_ta,ta,emo_context,non_pair,3,546.3333333333334,61.97849089267447,0.5479772651287195,0.06216498585022516
mecpe,mecpe_ta,ta,non_pair,emo_cause,3,1219.0,34.597687784012386,0.07878239513992115,0.0022360038637634855
mecpe,mecpe_ta,ta,non_pair,emo_context,3,1177.0,274.63248169144157,0.07606798940089188,0.01774914248635957
mecpe,mecpe_ta,ta,non_pair,non_pair,3,13077.0,267.2246246138256,0.845149615459187,0.017270382253850334
mecpe,mecpe_tav,tav,emo_cause,emo_cause,3,1152.3333333333333,36.77408507812711,0.6423262727610554,0.020498375182902522
mecpe,mecpe_tav,tav,emo_cause,emo_context,3,218.33333333333334,46.479386111838146,0.1217019695280565,0.0259082419798429
mecpe,mecpe_tav,tav,emo_cause,non_pair,3,423.3333333333333,15.947831618540908,0.23597175771088816,0.008889538248907975
mecpe,mecpe_tav,tav,emo_context,emo_cause,3,131.66666666666666,29.871948937646053,0.13206285523236375,0.029961834440968973
mecpe,mecpe_tav,tav,emo_context,emo_context,3,322.0,61.87891401761993,0.3229689067201605,0.06206510934565687
mecpe,mecpe_tav,tav,emo_context,non_pair,3,543.3333333333334,39.17056718166504,0.5449682380474757,0.039288432479102325
mecpe,mecpe_tav,tav,non_pair,emo_cause,3,1308.3333333333333,96.50043177796319,0.08455589306103105,0.006236698234212058
mecpe,mecpe_tav,tav,non_pair,emo_context,3,1077.0,248.86944368483648,0.06960511859367931,0.01608411062397961
mecpe,mecpe_tav,tav,non_pair,non_pair,3,13087.666666666666,169.34087909696603,0.8458389883452897,0.010944282239834994
mecpe,mecpe_tv,tv,emo_cause,emo_cause,3,1112.6666666666667,32.14550253664317,0.6202155332590115,0.01791834032142874
mecpe,mecpe_tv,tv,emo_cause,emo_context,3,237.0,37.986839826445156,0.13210702341137123,0.021174381174161174
mecpe,mecpe_tv,tv,emo_cause,non_pair,3,444.3333333333333,9.291573243177565,0.24767744332961725,0.00517924929943009
mecpe,mecpe_tv,tv,emo_context,emo_cause,3,108.66666666666667,19.218047073866096,0.10899364760949515,0.01927587469795998
mecpe,mecpe_tv,tv,emo_context,emo_context,3,323.3333333333333,31.94265695482036,0.3243062520896021,0.0320387732746443
mecpe,mecpe_tv,tv,emo_context,non_pair,3,565.0,31.606961258558215,0.5667001003009027,0.03170206746094104
mecpe,mecpe_tv,tv,non_pair,emo_cause,3,1181.6666666666667,78.11743296686937,0.0763695900385618,0.005048628770559645
mecpe,mecpe_tv,tv,non_pair,emo_context,3,1088.3333333333333,121.22843450830064,0.0703375772851634,0.007834837103877763
mecpe,mecpe_tv,tv,non_pair,non_pair,3,13203.0,97.13907555664713,0.8532928326762749,0.006277972956546683
RoBERTa,RoBERTa,t,emo_cause,emo_cause,3,738.3333333333334,83.8590086593762,0.4115570419918246,0.046744151984044725
RoBERTa,RoBERTa,t,emo_cause,emo_context,3,163.66666666666666,23.860706890897706,0.0912300260126347,0.01330028254788055
RoBERTa,RoBERTa,t,emo_cause,non_pair,3,892.0,60.852280154485584,0.4972129319955407,0.03391988860339219
RoBERTa,RoBERTa,t,emo_context,emo_cause,3,89.0,30.265491900843113,0.0892678034102307,0.030356561585599913
RoBERTa,RoBERTa,t,emo_context,emo_context,3,182.0,27.51363298439521,0.18254764292878636,0.027596422251148642
RoBERTa,RoBERTa,t,emo_context,non_pair,3,726.0,20.663978319771825,0.728184553660983,0.020726156790142267
RoBERTa,RoBERTa,t,non_pair,emo_cause,3,1041.6666666666667,265.0213827851129,0.0673215709084642,0.017127989580890127
RoBERTa,RoBERTa,t,non_pair,emo_context,3,771.6666666666666,114.52656169349245,0.04987181972899029,0.007401703722193011
RoBERTa,RoBERTa,t,non_pair,non_pair,3,13659.666666666666,152.9062893844897,0.8828066093625454,0.009882135939022126
WavLM,WavLM,a,emo_cause,emo_cause,3,480.3333333333333,4.725815626252601,0.2677443329617243,0.0026342339053805008
WavLM,WavLM,a,emo_cause,emo_context,3,10.0,3.0,0.005574136008918617,0.0016722408026755853
WavLM,WavLM,a,emo_cause,non_pair,3,1303.6666666666667,7.637626158259702,0.7266815310293571,0.004257316699141451
WavLM,WavLM,a,emo_context,emo_cause,3,130.33333333333334,4.509249752822891,0.1307255098629221,0.004522818207445227
WavLM,WavLM,a,emo_context,emo_context,3,20.0,5.196152422706632,0.020060180541624874,0.005211787786064827
WavLM,WavLM,a,emo_context,non_pair,3,846.6666666666666,2.8867513459481207,0.8492143095954531,0.0028954376589248824
WavLM,WavLM,a,non_pair,emo_cause,3,995.0,22.538855339169288,0.06430556453176502,0.001456657101995038
WavLM,WavLM,a,non_pair,emo_context,3,67.33333333333333,16.772994167212165,0.004351666343523126,0.001084016943528221
WavLM,WavLM,a,non_pair,non_pair,3,14410.666666666666,35.11884584284268,0.9313427691247119,0.0022696856358070056
